product_id,sku,name,description,category,manufacturer,size,color,material,cena_hurtowa,cena_detaliczna,stan,weight,ean,images
3600,ALCEROW3M #24,OBRĄCZKA,"OBRĄCZKA Z BIAŁEJ , GŁADKIEJ  CERAMIKI , SZER. 3MM .",Biżuteria/Srebro 925/Obrączki,AllSilver,24,,,13.00,49.57,3,2.800,,http://www.allsilver.pl/media/towary/big/8d7628dd7a710c8638dbd22d4421ee46.jpg
103,ALCEROC3M #10,OBRĄCZKA,"OBRĄCZKA, GŁADKA CERAMIKA, KOLOR KAWOWY, SZEROKOŚĆ 3MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,10,,,14.00,53.38,3,1.940,,http://www.allsilver.pl/media/towary/big/6974ce5ac660610b44d9b9fed0ff9548.jpg
104,ALCEROC3M #12,OBRĄCZKA,"OBRĄCZKA, GŁADKA CERAMIKA, KOLOR KAWOWY, SZEROKOŚĆ 3MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,12,,,14.00,53.38,3,2.010,,http://www.allsilver.pl/media/towary/big/c9e1074f5b3f9fc8ea15d152add07294.jpg
105,ALCEROC3M #14,OBRĄCZKA,"OBRĄCZKA, GŁADKA CERAMIKA, KOLOR KAWOWY, SZEROKOŚĆ 3MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,14,,,14.00,53.38,3,2.140,,http://www.allsilver.pl/media/towary/big/65b9eea6e1cc6bb9f0cd2a47751a186f.jpg
106,ALCEROC3M #16,OBRĄCZKA,"OBRĄCZKA, GŁADKA CERAMIKA, KOLOR KAWOWY, SZEROKOŚĆ 3MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,16,,,14.00,53.38,3,2.200,,http://www.allsilver.pl/media/towary/big/f0935e4cd5920aa6c7c996a5ee53a70f.jpg
107,ALCEROC3M #18,OBRĄCZKA,"OBRĄCZKA, GŁADKA CERAMIKA, KOLOR KAWOWY, SZEROKOŚĆ 3MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,18,,,14.00,53.38,3,2.270,,http://www.allsilver.pl/media/towary/big/a97da629b098b75c294dffdc3e463904.jpg
108,ALCEROC3M #20,OBRĄCZKA,"OBRĄCZKA, GŁADKA CERAMIKA, KOLOR KAWOWY, SZEROKOŚĆ 3MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,20,,,14.00,53.38,3,2.370,,http://www.allsilver.pl/media/towary/big/a3c65c2974270fd093ee8a9bf8ae7d0b.jpg
110,ALCEROC2M #12,OBRĄCZKA,"OBRĄCZKA,CERAMIKA,KOLOR KAWOWY,2MM",Biżuteria/Srebro 925/Obrączki,AllSilver,12,,,14.00,53.38,3,1.170,,http://www.allsilver.pl/media/towary/big/5f93f983524def3dca464469d2cf9f3e.jpg
111,ALCEROC2M #14,OBRĄCZKA,"OBRĄCZKA,CERAMIKA,KOLOR KAWOWY,2MM",Biżuteria/Srebro 925/Obrączki,AllSilver,14,,,14.00,53.38,3,1.310,,http://www.allsilver.pl/media/towary/big/698d51a19d8a121ce581499d7b701668.jpg
112,ALCEROC2M #16,OBRĄCZKA,"OBRĄCZKA,CERAMIKA,KOLOR KAWOWY,2MM",Biżuteria/Srebro 925/Obrączki,AllSilver,16,,,14.00,53.38,0,1.260,,http://www.allsilver.pl/media/towary/big/7f6ffaa6bb0b408017b62254211691b5.jpg
