SKU,cena_hurtowa,cena_detaliczna,stan
ALCER0012PWR #16,97.00,262.48,3
CS-863WY #12,61.00,180.07,3
CS-863WY #14,61.00,180.07,3
CS-863WY #16,61.00,180.07,3
CS-863WY #18,61.00,180.07,0
ALCER0013PBY #12,35.00,111.93,0
ALCER0013PBY #14,35.00,111.93,0
ALCER0013PBR #12,35.00,111.93,0
ALCER0013PBR #14,35.00,111.93,0
ALCER0013PBR #16,35.00,111.93,0
ALCER0013PBR #18,35.00,111.93,0
ALCER0014PWR #12,40.00,127.92,0
ALCER0014PWR #16,40.00,127.92,0
ALCER0014PWR #18,40.00,127.92,0
ALCER0008PBR #10,42.00,123.98,0
CS-861WR #12,61.00,180.07,3
CS-861WR #14,61.00,180.07,3
CS-861WR #16,61.00,180.07,3
CS-861WR #18,61.00,180.07,3
ALCER0041PBY #12,36.00,115.13,3
ALCER0041PBY #14,36.00,115.13,3
ALCER0041PBY #16,36.00,115.13,3
ALCER0041PBY #18,36.00,115.13,3
ALCER0014PSR #14,43.00,126.94,3
ALCER0014PSR #16,43.00,126.94,0
ALCER0014PSR #18,43.00,126.94,3
ALCER0014PRY #12,43.00,126.94,3
ALCER0014PRY #14,43.00,126.94,3
ALCER0014PRY #16,43.00,126.94,3
ALCER0014PRY #18,43.00,126.94,3
ALCER0014PSY #12,43.00,126.94,3
ALCER0014PSY #14,43.00,126.94,3
ALCER0014PSY #16,43.00,126.94,3
ALCER0014PSY #18,43.00,126.94,3
ALCER0025PBR #12,79.00,233.21,3
ALCER0025PBR #14,79.00,233.21,3
ALCER0025PBR #16,79.00,233.21,0
ALCER0025PBR #18,79.00,233.21,0
ALCER0013PRR #12,37.00,118.33,3
ALCER0013PRR #14,37.00,118.33,3
ALCER0013PRR #16,39.00,124.72,3
ALCER0013PRR #18,39.00,124.72,0
ALCER0013PSR #18,35.00,111.93,3
ALCER0013PSR #12,37.00,118.33,3
ALCER0013PSR #14,37.00,118.33,3
ALCER0013PRY #12,35.00,111.93,3
ALCER0013PRY #14,35.00,111.93,3
ALCER0013PRY #16,35.00,111.93,3
ALCER0013PRY #18,35.00,111.93,3
ALCER0013PSY #12,36.00,115.13,3
ALCER0013PSY #16,36.00,115.13,0
ALCER0013PSY #18,36.00,115.13,3
ALCER0014PRR #16,43.00,126.94,0
ALCER0014PRR #18,43.00,126.94,3
CS-852WR #12,76.00,224.35,3
CS-852WR #16,76.00,224.35,3
CS-852WR #18,76.00,224.35,3
CS-852WR #14,77.00,227.30,3
CS-852WY #12,76.00,224.35,3
CS-852WY #14,76.00,224.35,3
CS-852WY #16,76.00,224.35,3
CS-852WY #18,76.00,224.35,3
CS-850WY #12,76.00,224.35,3
CS-850WY #14,76.00,224.35,3
CS-850WY #16,76.00,224.35,3
CS-850WY #18,76.00,224.35,3
CS-850WR #12,76.00,224.35,3
CS-850WR #14,76.00,224.35,3
CS-850WR #16,76.00,224.35,3
CS-850WR #18,76.00,224.35,3
CS-851WR #12,76.00,224.35,3
CS-851WR #14,76.00,224.35,3
CS-851WR #16,76.00,224.35,3
CS-851WR #18,76.00,224.35,3
CS-850BY #12,76.00,224.35,3
CS-850BY #18,76.00,224.35,3
CS-850BY #14,76.00,224.35,3
CS-850BY #16,76.00,224.35,3
CS-850BR #12,76.00,224.35,3
CS-850BR #14,76.00,224.35,3
CS-850BR #16,76.00,224.35,3
CS-850BR #18,76.00,224.35,3
CS-852BY #12,76.00,224.35,3
CS-852BY #18,76.00,224.35,3
CS-852BY #15,76.00,224.35,3
CS-852BY #16,76.00,224.35,3
CS-851BY #12,76.00,224.35,3
CS-851BY #18,76.00,224.35,3
CS-851BR #12,76.00,224.35,3
CS-851BR #14,76.00,224.35,3
CS-851BR #16,76.00,224.35,3
CS-851BR #18,76.00,224.35,3
CS-852BR #12,76.00,224.35,3
CS-852BR #14,76.00,224.35,3
CS-852BR #16,76.00,224.35,3
CS-852BR #18,76.00,224.35,3
ALCER0033PBY #12,64.00,188.93,3
ALCER0033PBY #14,64.00,188.93,3
ALCER0033PBY #16,64.00,188.93,3
ALCER0033PBY #18,64.00,188.93,3
ALCER0034PBR #14,68.00,200.74,0
ALCER0034PBR #18,68.00,200.74,0
CS-373WR #12,57.00,168.26,3
CS-373WR #15,57.00,168.26,3
CS-373WR #16,57.00,168.26,3
CS-373WR #18,57.00,168.26,0
CS-076WR #18,35.00,111.93,0
CS-076WR #16,35.00,111.93,0
ALCER0030PBR #16,57.00,168.26,0
ALCER0030PBR #18,57.00,168.26,0
CS-061BY #12,37.00,118.33,0
CS-061BY #14,37.00,118.33,3
CS-061BY #16,37.00,118.33,3
CS-061BY #18,37.00,118.33,3
CS-061BY #20,37.00,118.33,3
CS-061BY #24,37.00,118.33,0
CS-866WY #12,40.00,127.92,0
CS-866WY #14,40.00,127.92,0
CS-866WY #16,40.00,127.92,0
CS-866WY #18,40.00,127.92,3
ALCER0023OWR #16,73.00,215.50,3
ALCER0023OWR #18,73.00,215.50,3
ALCER0037PBR#12,61.00,180.07,3
ALCER0023OBR #10,72.00,212.54,3
ALCER0023OBR #20,73.00,215.50,0
ALCER0023OBR #12,74.00,218.45,3
ALCER0023OBR #14,74.00,218.45,0
ALCER0023OBR #16,74.00,218.45,0
ALCER0023OBR #18,74.00,218.45,3
ALCER0036PBR #12,75.00,221.40,3
ALCER0036PBR #14,75.00,221.40,0
ALCER0036PBR #16,75.00,221.40,0
ALCER0017PBR #12,72.00,212.54,3
ALCER0017PBR #14,72.00,212.54,3
ALCER0017PBR #16,72.00,212.54,3
ALCER0017PBR #18,72.00,212.54,3
ALCER0021PSY #12,44.00,129.89,3
ALCER0021PSY #14,44.00,129.89,3
ALCER0021PSY #16,44.00,129.89,3
ALCER0021PSY #18,44.00,129.89,3
CS-060BY #12,47.00,138.74,3
CS-060BY #14,47.00,138.74,3
CS-060BY #16,47.00,138.74,3
CS-060BY #18,47.00,138.74,3
CS-060BY #10,47.00,138.74,0
CS-060BR #12,47.00,138.74,3
CS-060BR #14,47.00,138.74,0
CS-060BR #16,47.00,138.74,3
CS-060BR #18,47.00,138.74,0
ALCER0038PBR #12,39.00,124.72,0
ALCER0038PBR #16,39.00,124.72,0
ALCER0038PBR #18,39.00,124.72,0
ALCER0040PBR #20,39.00,124.72,0
ALCER0040PBR #22,39.00,124.72,0
CS-570WR #12,73.00,215.50,3
CS-570WR #14,73.00,215.50,3
CS-570WR #16,73.00,215.50,3
CS-570WR #18,73.00,215.50,3
ALCER0019PWR #12,51.00,150.55,0
ALCER0020PSY #14,51.00,150.55,3
ALCER0020PSY #16,51.00,150.55,3
CS-851WY #12,76.00,224.35,3
CS-851WY #14,76.00,224.35,3
CS-851WY #16,76.00,224.35,3
CS-851WY #18,76.00,224.35,3
CS-205BR #12,61.00,180.07,3
CS-205BR #14,61.00,180.07,3
CS-205BR #16,61.00,180.07,3
CS-205BR #18,61.00,180.07,3
CS-150BY #12,52.00,153.50,3
CS-150BY #14,52.00,153.50,3
CS-150BY #16,52.00,153.50,0
CS-150BY #18,52.00,153.50,3
CS-150BR #10,51.00,150.55,3
CS-150BR #12,51.00,150.55,3
CS-150BR #14,51.00,150.55,3
CS-150BR #18,51.00,150.55,3
CS-150BR #20,51.00,150.55,3
CS-150BR #16,52.00,153.50,3
CS-478WR #12,51.00,150.55,3
CS-478WR #14,51.00,150.55,3
CS-478WR #18,51.00,150.55,3
CS-478WR #16,51.00,150.55,3
ALCER0016OWR #12,84.00,227.30,3
ALCER0016OWR #14,84.00,227.30,3
ALCER0016OWR #16,84.00,227.30,3
ALCER0016OWR #18,84.00,227.30,3
CS-854BY #12,33.00,105.53,3
CS-854BY #14,33.00,105.53,0
CS-854BY #18,33.00,105.53,3
CS-854BY #16,33.00,105.53,3
ALCER0016OBR #12,84.00,227.30,3
ALCER0016OBR #16,84.00,227.30,0
ALCER0016OBR #18,84.00,227.30,0
ALCER0016OBR #20,84.00,227.30,3
ALCER0032PBR #12,58.00,171.22,3
ALCER0032PBR #14,58.00,171.22,3
ALCER0032PBR #16,58.00,171.22,3
ALCER0032PBR #18,58.00,171.22,3
ALCER0043PBR #18,63.00,185.98,3
ALCER0043PBR #12,69.00,203.69,3
ALCER0043PBR #14,69.00,203.69,3
ALCER0043PBR #16,69.00,203.69,3
CS-836WR #12,79.00,233.21,3
CS-836WR #14,79.00,233.21,3
CS-836WR #16,79.00,233.21,3
CS-836WR #18,79.00,233.21,3
CS-836BR #12,79.00,233.21,3
CS-836BR #14,79.00,233.21,3
CS-836BR #16,79.00,233.21,3
CS-836BR #18,79.00,233.21,3
ALCER0021PWR #16,100.00,270.60,3
ALCER0021PWR #12,110.00,297.66,3
ALCER0021PWR #14,110.00,297.66,3
ALCER0021PWY #14,110.00,297.66,3
ALCER0021PWY #16,110.00,297.66,3
ALCER0021PWY #18,110.00,297.66,3
CS-387WR #20,44.00,129.89,3
CS-387WR #14,51.00,150.55,3
CS-387WR #16,51.00,150.55,3
CS-387WR #18,51.00,150.55,3
CS-387WR #12,51.00,150.55,3
ALCER0012PBR #10,100.00,270.60,3
ALCER0012PBR #12,100.00,270.60,3
ALCER0012PBR #14,100.00,270.60,3
ALCER0012PBR #16,100.00,270.60,3
ALCER0012PBR #18,100.00,270.60,3
ALCER0024PBR #18,47.00,138.74,0
ALCER0027PBR #12,112.00,303.07,3
ALCER0027PBR #14,112.00,303.07,3
ALCER0027PBR #18,112.00,303.07,3
ALCER0028PBR #12,77.00,227.30,0
ALCER0028PBR #16,77.00,227.30,0
ALCER0028PBR #18,77.00,227.30,0
ALCER0029PBR #14,70.00,206.64,3
CS-129BR #24,29.00,92.74,0
CS-129WR #18,29.00,92.74,0
CS-129WR #24,29.00,92.74,3
CS-129BY #18,29.00,92.74,0
CS-129BY #20,29.00,92.74,0
CS-129BY #24,29.00,92.74,0
CS-129WY #14,29.00,92.74,0
CS-129WY #24,29.00,92.74,0
SR16580100001 #12,21.00,67.16,3
SR16580100001 #14,21.00,67.16,0
SR16580100001 #17,21.00,67.16,0
SR16580100001 #19,21.00,67.16,0
SR16576100001 #11,15.00,57.20,0
SR16576100001 #12,15.00,57.20,0
SR16576100001 #13,15.00,57.20,0
SR16576100001 #14,15.00,57.20,0
SR16576100001 #15,15.00,57.20,0
SR16576100001 #16,15.00,57.20,0
SR16576100001 #17,15.00,57.20,0
SR16576100001 #18,15.00,57.20,0
SR16576100001 #19,15.00,57.20,0
SR16576100001 #20,15.00,57.20,0
AR4633RH #12,22.00,70.36,3
AR4633RH #14,22.00,70.36,3
AR4633RH #16,22.00,70.36,3
AR4633RH #18,22.00,70.36,3
AR4633YG #12,24.00,76.75,3
AR4633YG #14,24.00,76.75,3
AR4633YG #16,24.00,76.75,3
AR4633YG #18,24.00,76.75,3
AR4765RH #12,19.00,60.76,0
AR4765RH #14,19.00,60.76,0
AR4765RH #16,19.00,60.76,0
AR4765RH #18,21.00,67.16,0
AR4765YG #12,20.00,63.96,3
AR4765YG #14,20.00,63.96,3
AR4765YG #16,20.00,63.96,3
AR4765YG #18,20.00,63.96,0
AR4770RH #12,21.00,67.16,3
AR4770RH #14,21.00,67.16,0
AR4770RH #16,21.00,67.16,0
AR4770RH #18,21.00,67.16,3
AR4770YG #12,20.00,63.96,3
AR4770YG #14,20.00,63.96,0
AR4770YG #16,20.00,63.96,3
AR4770YG #18,20.00,63.96,3
AR3768-1RH #12,32.00,102.34,0
AR3768-1RH #14,32.00,102.34,3
AR3768-1RH #16,32.00,102.34,3
AR3768-1RH #18,32.00,102.34,3
AR4643RH#12,14.00,53.38,3
AR4643RH#14,17.00,54.37,3
AR4643RH#16,17.00,54.37,3
AR4643YG#12,18.00,57.56,0
AR4643YG#14,18.00,57.56,3
AR4643YG#16,18.00,57.56,3
AR4643YG#18,18.00,57.56,3
AR6132-1RH #14,17.00,54.37,0
AR6132-1RH #16,22.00,70.36,0
AR6132-1RH #12,24.00,76.75,0
AR6132-1RH #18,24.00,76.75,0
AR6132-1YG #12,24.00,76.75,0
AR6132-1YG #14,24.00,76.75,3
AR6132-1YG #16,24.00,76.75,3
AR6132-1YG #18,24.00,76.75,0
AR4644RH #12,17.00,54.37,3
AR4644RH #14,17.00,54.37,0
AR4644RH #16,18.00,57.56,0
AR4644RH #18,19.00,60.76,0
AR4644YG #14,11.00,41.94,0
AR4644YG #12,13.00,49.57,0
AR4644YG #18,15.00,57.20,0
AR4644YG #16,17.00,54.37,3
AR4903RH #12,17.00,54.37,3
AR4903RH #14,17.00,54.37,3
AR4903RH #16,17.00,54.37,3
AR4903RH #18,17.00,54.37,0
AR4903YG #12,18.00,57.56,3
AR4903YG #14,18.00,57.56,3
AR4903YG #16,18.00,57.56,3
AR4903YG #18,18.00,57.56,3
AR4767YG #12,22.00,70.36,3
AR4767YG #14,22.00,70.36,3
AR4767YG #16,22.00,70.36,3
AR4767YG #18,22.00,70.36,3
AR4904RH #14,12.00,45.76,0
AR4904RH #12,13.00,49.57,3
AR4904RH #16,15.00,57.20,0
AR4904RH #18,15.00,57.20,3
AR4904YG #12,19.00,60.76,3
AR4904YG #16,19.00,60.76,3
AR4904YG #14,20.00,63.96,3
AR4904YG #18,20.00,63.96,3
CS-881BR #20,34.00,108.73,3
CS-881BR #14,34.00,108.73,3
CS-881BR #16,34.00,108.73,3
CS-881BR #18,34.00,108.73,3
CS-881BR #22,34.00,108.73,3
CS-881WR #20,34.00,108.73,3
CS-881WR #14,34.00,108.73,0
CS-881WR #16,34.00,108.73,3
CS-881WR #18,34.00,108.73,3
CS-881WR #22,34.00,108.73,3
CS-1018AWR #20,34.00,108.73,3
CS-1018AWR #22,34.00,108.73,3
CS-1018AWR #14,35.00,111.93,3
CS-1018AWR #16,35.00,111.93,3
CS-1018AWR #18,35.00,111.93,3
CS-1018AWY #20,34.00,108.73,3
CS-1018AWY #14,34.00,108.73,3
CS-1018AWY #16,34.00,108.73,3
CS-1018AWY #18,34.00,108.73,0
CS-1018AWY #22,34.00,108.73,3
CS-1018ABR #22,34.00,108.73,0
CS-1018ABR #16,35.00,111.93,3
CS-1018ABR #14,35.00,111.93,3
CS-1018ABR #18,35.00,111.93,3
CS-1018ABR #20,35.00,111.93,3
CS-1018ABY #20,34.00,108.73,3
CS-1018ABY #14,34.00,108.73,3
CS-1018ABY #16,34.00,108.73,3
CS-1018ABY #18,34.00,108.73,3
CS-1018ABY #22,34.00,108.73,3
CS-1027ABR #14,68.00,200.74,0
CS-1027ABR #16,68.00,200.74,0
CS-1027ABR #18,68.00,200.74,0
CS-1027AWR #22,67.00,197.78,0
CS-1029ABR #20,69.00,203.69,3
CS-1029ABR #14,69.00,203.69,0
CS-1029ABR #18,69.00,203.69,0
CS-1029ABR #22,69.00,203.69,3
CS-1029AWR #20,68.00,200.74,0
CS-1029AWR #22,68.00,200.74,0
CS-1002BR #20,55.00,162.36,0
CS-1002BR #22,55.00,162.36,0
CS-1008ABY #14,44.00,129.89,0
CS-1008ABY #22,44.00,129.89,0
CS-1008ABY #24,44.00,129.89,3
CS-1008ABY #20,45.00,132.84,3
CS-1008ABY #16,45.00,132.84,0
CS-1008ABY #18,45.00,132.84,3
CS-1008AWR #18,44.00,129.89,0
CS-1008AWR #22,44.00,129.89,0
